,Town,Super Petrol,Diesel,Kerosene,Price Period
0,Mombasa,127.46,108.36,101.29,January-2022
1,Kilifi,128.17,109.07,102.01,January-2022
2,Likoni Mainland,127.82,108.71,101.65,January-2022
3,Kwale,127.82,108.71,101.65,January-2022
4,Malindi,128.39,109.27,102.21,January-2022
5,Lungalunga,128.53,109.43,102.36,January-2022
6,Voi,128.94,109.84,102.76,January-2022
7,Taveta,130.36,111.24,104.18,January-2022
8,Lamu,130.77,111.65,104.59,January-2022
9,Hola,131.05,111.94,104.88,January-2022
10,Nairobi,129.72,110.6,103.54,January-2022
11,Thika,129.72,110.6,103.54,January-2022
12,Machakos,129.95,110.84,103.78,January-2022
13,Kajiado,130.13,111.01,103.95,January-2022
14,Makuyu,130.0,110.88,103.82,January-2022
15,Muranga,130.24,111.12,104.06,January-2022
16,Sagana,130.45,111.34,104.27,January-2022
17,Embu,130.82,111.7,104.64,January-2022
18,Kerugoya,130.73,111.63,104.57,January-2022
19,Narok,131.1,111.99,104.92,January-2022
20,Nyeri,131.09,111.97,104.91,January-2022
21,Namanga,131.25,112.15,105.07,January-2022
22,Kiganjo,131.05,111.93,104.87,January-2022
23,Chuka,131.35,112.23,105.17,January-2022
24,Kitui,131.24,112.13,105.06,January-2022
25,Mwingi,131.63,112.51,105.45,January-2022
26,Nanyuki,131.64,112.54,105.46,January-2022
27,Nkubu,132.61,113.5,106.43,January-2022
28,Mtito Andei,132.15,113.03,105.97,January-2022
29,Meru,132.81,113.69,106.63,January-2022
30,Isiolo,132.67,113.55,106.49,January-2022
31,Maua,133.26,114.15,107.08,January-2022
32,Garissa,133.88,114.77,107.71,January-2022
33,Marsabit,137.57,118.45,111.39,January-2022
34,Liboi,136.65,117.54,110.47,January-2022
35,Moyale,139.15,120.03,112.97,January-2022
36,Sololo,138.2,119.09,112.03,January-2022
37,Habaswein,136.57,117.46,110.4,January-2022
38,Dadaab,135.27,116.15,109.09,January-2022
39,Tarbaj,138.82,119.71,112.64,January-2022
40,Elwak,140.42,121.32,114.25,January-2022
41,Wajir,138.97,119.87,112.8,January-2022
42,Modogashe,136.72,117.6,110.54,January-2022
43,Mandera,142.75,123.64,116.58,January-2022
44,Nakuru,129.24,110.43,103.39,January-2022
45,Gilgil,129.21,110.39,103.36,January-2022
46,Mogotio,129.2,110.38,103.33,January-2022
47,Molo,129.29,110.46,103.43,January-2022
48,Olenguruone,129.99,111.16,104.13,January-2022
49,Londiani,129.5,110.69,103.65,January-2022
50,Nyahururu,129.49,110.68,103.64,January-2022
51,Archers Post,132.48,113.66,106.63,January-2022
52,Lodosoit,133.57,114.76,107.72,January-2022
53,Naivasha,129.57,110.75,103.71,January-2022
54,Marigat,129.97,111.15,104.11,January-2022
55,Kabarnet ,130.46,111.64,104.61,January-2022
56,Maralal,131.54,112.73,105.69,January-2022
57,Eldoret,130.13,111.32,104.27,January-2022
58,Kiplombe,130.13,111.32,104.27,January-2022
59,Iten,130.13,111.32,104.27,January-2022
60,Naiberi,130.13,111.32,104.27,January-2022
61,Kesses,130.13,111.32,104.27,January-2022
62,Kapsabet,130.14,111.34,104.28,January-2022
63,Webuye,130.55,111.75,104.7,January-2022
64,Kitale,130.49,111.68,104.63,January-2022
65,Kapenguria ,131.12,112.32,105.27,January-2022
66,Bungoma,130.9,112.08,105.04,January-2022
67,Moiben,130.14,111.34,104.28,January-2022
68,Matunda,130.12,111.3,104.26,January-2022
